source,target,link
291,2535,True
291,4304,True
292,2531,True
292,8097,True
292,8171,True
294,2895,True
294,6901,True
294,9790,True
294,11910,True
296,6240,True
296,8161,True
296,14659,True
296,36479,True
297,4078,True
297,12941,True
297,37386,True
299,1494,True
299,1517,True
299,2553,True
299,5776,True
299,6280,True
299,10540,True
299,11212,True
299,13413,True
299,17668,True
299,21060,True
299,22021,True
299,38516,True
299,41841,True
299,41845,True
300,6405,True
301,3768,True
301,5615,True
301,9112,True
301,12340,True
301,12729,True
301,25049,True
301,40358,True
302,309,True
302,1827,True
302,2455,True
302,9679,True
302,11191,True
302,16903,True
304,629,True
304,630,True
307,310,True
307,5483,True
307,5501,True
307,8184,True
309,1658,True
309,2056,True
309,2311,True
309,2354,True
309,2365,True
309,6400,True
309,10717,True
309,18985,True
309,20600,True
309,20601,True
309,20602,True
310,3950,True
310,5138,True
310,7550,True
310,10958,True
310,26763,True
310,30772,True
313,4224,True
313,22401,True
316,7903,True
316,8653,True
316,10877,True
316,28836,True
316,34970,True
316,35277,True
317,5155,True
317,19494,True
319,15298,True
319,21085,True
319,22372,True
319,27694,True
319,29810,True
319,29941,True
320,1161,True
320,1165,True
320,1438,True
320,1882,True
320,2006,True
320,2333,True
320,3118,True
320,12375,True
321,31208,True
325,6602,True
325,24234,True
326,7797,True
327,22378,True
329,2301,True
329,2330,True
329,2370,True
329,10306,True
329,25911,True
331,629,True
331,630,True
331,16911,True
332,15685,True
332,17793,True
332,22265,True
332,47568,True
332,49006,True
332,50941,True
335,770,True
335,1635,True
335,4219,True
335,9120,True
335,13356,True
335,17329,True
335,44411,True
336,565,True
336,1509,True
336,1637,True
336,1658,True
336,12684,True
339,49454,True
342,25026,True
343,5587,True
343,25523,True
343,40958,True
346,629,True
346,18184,True
346,45954,True
348,3697,True
350,3414,True
350,3875,True
350,6577,True
350,17330,True
350,20463,True
351,2979,True
351,3574,True
351,9394,True
351,11038,True
351,15198,True
351,15625,True
351,21914,True
351,22930,True
351,23050,True
351,24898,True
351,25029,True
351,32797,True
351,59574,True
359,697,True
359,2396,True
359,4714,True
359,12125,True
359,13577,True
359,18491,True
359,29708,True
359,38541,True
359,38548,True
360,510,True
360,1480,True
360,1492,True
360,3822,True
360,4533,True
360,9140,True
360,10232,True
360,11504,True
360,12436,True
360,22833,True
360,23559,True
360,37428,True
361,8969,True
362,770,True
362,5324,True
362,8528,True
362,16808,True
362,33518,True
362,37291,True
362,42986,True
363,8257,True
363,38734,True
363,40542,True
363,48726,True
364,1421,True
364,4114,True
364,4533,True
364,5245,True
364,12468,True
364,16808,True
364,46807,True
364,50539,True
364,53906,True
366,2685,True
366,14294,True
369,849,True
369,1053,True
369,2432,True
369,2847,True
369,6572,True
369,7286,True
369,7790,True
369,11178,True
369,11189,True
369,11409,True
369,41613,True
370,18002,True
370,49097,True
370,50758,True
377,796,True
377,2317,True
377,4162,True
377,11559,True
377,12239,True
377,13571,True
377,13574,True
379,12802,True
379,17152,True
380,382,True
380,1729,True
380,2161,True
381,2851,True
381,4673,True
381,6418,True
381,6779,True
381,15795,True
381,24484,True
382,11140,True
382,11843,True
385,18458,True
385,26506,True
387,2275,True
388,421,True
388,575,True
388,1312,True
388,1847,True
388,5840,True
388,10306,True
389,933,True
389,4539,True
389,4826,True
389,5732,True
389,5947,True
389,7320,True
389,7880,True
389,10379,True
389,23137,True
392,5212,True
392,35487,True
392,36078,True
394,3178,True
394,4119,True
396,26610,True
398,4679,True
398,5859,True
398,6534,True
398,7156,True
398,7349,True
398,9925,True
398,12577,True
398,13570,True
398,13571,True
398,31064,True
399,803,True
399,1085,True
399,4163,True
399,54874,True
401,577,True
401,4162,True
401,11372,True
402,11069,True
402,40953,True
402,40969,True
403,6313,True
403,20081,True
403,21234,True
403,22005,True
403,23237,True
405,1300,True
405,1445,True
405,37145,True
406,572,True
406,2161,True
406,10057,True
406,39779,True
407,605,True
407,10212,True
407,20656,True
407,23341,True
408,6821,True
408,22055,True
408,26194,True
409,61735,True
412,4162,True
414,6101,True
414,21016,True
414,24017,True
415,13988,True
415,40405,True
416,23728,True
416,24792,True
416,25076,True
416,49861,True
418,10507,True
418,13586,True
418,39396,True
420,8502,True
420,20401,True
420,39722,True
420,51610,True
421,1314,True
421,2040,True
421,5214,True
421,5853,True
421,12595,True
422,6374,True
422,7593,True
422,8695,True
422,11155,True
422,11856,True
422,16322,True
422,20293,True
422,23012,True
422,23698,True
422,27243,True
422,31720,True
422,39903,True
423,939,True
423,1175,True
423,7343,True
423,9517,True
423,10056,True
423,10769,True
423,14755,True
423,19592,True
423,22833,True
423,26452,True
423,29408,True
423,30618,True
424,4900,True
424,4981,True
424,18711,True
425,3753,True
425,4162,True
425,7341,True
425,12540,True
425,23513,True
425,29358,True
426,4530,True
429,4293,True
429,8130,True
429,8671,True
429,15946,True
429,16165,True
429,22324,True
429,25561,True
431,589,True
431,606,True
431,7743,True
431,20214,True
431,30176,True
431,32731,True
431,32733,True
433,3631,True
433,3691,True
433,8633,True
433,8714,True
433,11325,True
433,13929,True
433,15400,True
433,15420,True
433,16688,True
433,19134,True
433,19137,True
433,22737,True
433,23068,True
433,24989,True
433,36965,True
434,8167,True
434,12582,True
435,437,True
435,8707,True
435,9876,True
435,19499,True
435,22350,True
435,24332,True
436,17865,True
437,593,True
437,594,True
437,2271,True
437,3664,True
437,3707,True
437,3982,True
437,5170,True
437,9231,True
437,9960,True
437,11314,True
437,11814,True
437,11820,True
437,12649,True
437,13499,True
437,14313,True
437,16534,True
437,19115,True
437,20759,True
438,19204,True
438,34285,True
441,9876,True
441,10154,True
441,19212,True
441,23396,True
441,26955,True
441,27581,True
441,40518,True
441,51036,True
442,4191,True
442,5344,True
442,11323,True
445,687,True
445,807,True
445,814,True
445,846,True
445,4219,True
445,6981,True
445,15440,True
445,15441,True
451,846,True
451,1208,True
451,1615,True
451,2736,True
